title,year,minutes,genres,rating,votes,director,cast
White Water Summer,1987,90,"Adventure,Drama",6.2,6185,Jeff Bleckner,"Kevin Bacon,Sean Astin,Jonathan Ward,K.C. Martel,Matt Adler"
Nadodikkattu,1987,158,Comedy,8.8,6164,Sathyan Anthikad,"Mohanlal,Sreenivasan,Shobana,Thilakan,Innocent Vareed Thekkethala"
Hachi-ko,1987,107,"Biography,Drama,Family",7.9,6113,Seijirô Kôyama,"Tatsuya Nakadai,Kaoru Yachigusa,Toshirô Yanagiba,Toshinori Omi,Mako Ishino"
Blood Rage,1987,82,Horror,5.8,6106,John Grissmer,"Louise Lasser,Mark Soper,Mark Soper,Julie Gordon,Jayne Bentzen"
A Prayer for the Dying,1987,107,"Action,Crime,Drama",6.3,6027,Mike Hodges,"Mickey Rourke,Bob Hoskins,Alan Bates,Sammi Davis,Christopher Fulford"
Wings of Honneamise,1987,121,"Animation,Drama,Sci-Fi",7.2,5966,Hiroyuki Yamaga,"Leo Morimoto,David Thomas,David Thomas,Mitsuki Yayoi,Heidi Lenhart"
Boyfriends and Girlfriends,1987,103,"Comedy,Drama,Romance",7.5,5946,Éric Rohmer,"Emmanuelle Chaulet,Sophie Renoir,Anne-Laure Meury,Eric Viellard,François-Eric Gendron"
Gandahar,1987,78,"Adventure,Animation,Fantasy",7,5872,René Laloux,"Glenn Close,Glenn Close,Christopher Plummer,Christopher Plummer,Pierre-Marie Escourrou"
Ghoulies II,1987,89,"Comedy,Horror",4.7,5863,Albert Band,"Damon Martin,Royal Dano,Phil Fondacaro,J. Downing,Kerry Remsen"
Howling III,1987,94,"Comedy,Horror",3.5,5779,Philippe Mora,"Barry Otto,Max Fairchild,Imogen Annesley,Dagmar Bláhová,Lee Biolos"
Pathfinder,1987,86,"Action,Adventure,Drama",7.1,5772,Nils Gaup,"Mikkel Gaup,Ingvald Guttorm,Nils Utsi,Henrik H. Buljo,Nils-Aslak Valkeapää"
Steel Dawn,1987,100,"Action,Adventure,Sci-Fi",5.1,5742,Lance Hool,"Patrick Swayze,Lisa Niemi,Anthony Zerbe,Christopher Neame,Brion James"
Hard Ticket to Hawaii,1987,96,"Action,Comedy,Crime",5,5741,Andy Sidaris,"Ronn Moss,Dona Speir,Hope Marie Carlton,Harold Diamond,Rodrigo Obregón"
No Man's Land,1987,106,"Crime,Drama,Thriller",6.1,5738,Peter Werner,"Charlie Sheen,D.B. Sweeney,Lara Harris,Randy Quaid,Bill Duke"
Blood Diner,1987,88,"Comedy,Horror",5.3,5697,Jackie Kong,"Rick Burks,Carl Crew,Roger Dauer,LaNette La France,Lisa Elaina"
The Sicilian,1987,115,"Action,Crime,Drama",5.4,5624,Michael Cimino,"Christopher Lambert,Terence Stamp,Joss Ackland,John Turturro,Richard Bauer"
The Whales of August,1987,90,Drama,7.1,5535,Lindsay Anderson,"Bette Davis,Lillian Gish,Vincent Price,Ann Sothern,Harry Carey Jr."
The Barbarians,1987,87,"Action,Adventure,Fantasy",5,5478,Ruggero Deodato,"David Paul,Peter Paul,Richard Lynch,Eva LaRue,Virginia Bryant"
A Return to Salem's Lot,1987,101,"Comedy,Horror,Thriller",4.3,5352,Larry Cohen,"Michael Moriarty,Samuel Fuller,Ricky Addison Reed,Andrew Duggan,Evelyn Keyes"
Thoovanathumbikal,1987,151,"Drama,Romance",8.6,5242,P. Padmarajan,"Mohanlal,Sumalatha,Parvathi,Ashokan,Babu Namboothiri"
"Rita, Sue and Bob Too",1987,89,"Comedy,Drama",6.6,5184,Alan Clarke,"Siobhan Finneran,Michelle Holmes,Willie Ross,Danny O'Dea,David Britton"
Prison,1987,102,"Crime,Drama,Horror",5.8,4989,Renny Harlin,"Lane Smith,Viggo Mortensen,Viggo Mortensen,Chelsea Field,Lincoln Kilpatrick"
Real Men,1987,85,"Action,Comedy,Sci-Fi",6,4961,Dennis Feldman,"Jim Belushi,John Ritter,Barbara Barrie,Bill Morey,Isa Jank"
My Best Friend's Birthday,1987,69,Comedy,5.5,4925,Quentin Tarantino,"Craig Hamann,Quentin Tarantino,Crystal Shaw Martell,Allen Garfield,Al Harrell"
Burglar,1987,103,"Comedy,Crime",5.1,4924,Hugh Wilson,"Whoopi Goldberg,Bobcat Goldthwait,G.W. Bailey,Lesley Ann Warren,James Handy"
American Gothic,1987,90,Horror,5.8,4920,John Hough,"Sarah Torgov,Terence Kelly,Mark Erickson,Caroline Barclay,Mark Lindsay Chapman"
Dead of Winter,1987,100,"Drama,Horror,Thriller",6.2,4903,Arthur Penn,"Mary Steenburgen,Mary Steenburgen,Mary Steenburgen,Roddy McDowall,Jan Rubes"
Motherland Hotel,1987,101,"Crime,Drama,Thriller",7.5,4877,Ömer Kavur,"Macit Koper,Sahika Tekand,Serra Yilmaz,Osman Alyanak,Orhan Basaran"
Billionaire,1987,96,"Comedy,Drama",7.5,4794,Kartal Tibet,"Sener Sen,Münir Özkul,Ugur Yücel,Tulug Çizgen,Tayfun Coragan"
Nadine,1987,83,"Comedy,Mystery,Romance",5.5,4620,Robert Benton,"Jeff Bridges,Kim Basinger,Rip Torn,Gwen Verdon,Glenne Headly"
Neo Tokyo,1987,50,"Adventure,Animation,Fantasy",7,4550,Yoshiaki Kawajiri,"Hideko Yoshida,Masane Tsukayama,Yû Mizushima,Iemasa Kayumi,Jôji Yanami"
Anguish,1987,89,"Horror,Thriller",6.7,4539,Bigas Luna,"Zelda Rubinstein,Michael Lerner,Talia Paul,Àngel Jové,Clara Pastor"
Walker,1987,94,"Biography,Drama,History",6.6,4538,Alex Cox,"Ed Harris,Richard Masur,Rene Auberjonois,Keith Szarabajka,Sy Richardson"
My Best Friend Is a Vampire,1987,89,"Comedy,Horror,Romance",6,4531,Jimmy Huston,"Robert Sean Leonard,Evan Mirand,LeeAnne Locken,Cheryl Pollak,Cecilia Peck"
The Moromete Family,1987,142,Drama,8.8,4411,Stere Gulea,"Victor Rebengiuc,Luminita Gheorghiu,Gina Patrichi,Dorel Visan,Mitica Popescu"
Hiding Out,1987,98,"Comedy,Drama,Romance",6.4,4372,Bob Giraldi,"Jon Cryer,Jon Cryer,Keith Coogan,Annabeth Gish,Oliver Cotton"
Fatal Beauty,1987,104,"Action,Comedy,Crime",5.4,4221,Tom Holland,"Whoopi Goldberg,Sam Elliott,Rubén Blades,Harris Yulin,John P. Ryan"
Hot Pursuit,1987,93,Comedy,5.7,4206,Steven Lisberger,"John Cusack,Robert Loggia,Jerry Stiller,Wendy Gazelle,Monte Markham"
The Curse,1987,92,"Horror,Sci-Fi",5.1,4139,David Keith,"Wil Wheaton,Claude Akins,Malcolm Danare,Cooper Huckabee,John Schneider"
Selamsiz's Band,1987,107,"Comedy,Drama,Music",7.7,4088,Nesli Çölgeçen,"Sener Sen,Ali Uyandiran,Üstün Asutay,Ugur Yücel,Güzin Çoragan"
Japon Isi,1987,89,"Comedy,Romance,Sci-Fi",6.1,4070,Kartal Tibet,"Kemal Sunal,Fatma Girik,Sümer Tilmaç,Asuman Arsan,Necdet Yakin"
Critical Condition,1987,97,Comedy,5.3,4059,Michael Apted,"Richard Pryor,Richard Pryor,Rachel Ticotin,Rubén Blades,Joe Mantegna"
Street Smart,1987,97,"Crime,Drama,Thriller",6.4,4056,Jerry Schatzberg,"Christopher Reeve,Kathy Baker,Mimi Rogers,Jay Patterson,Andre Gregory"
Five Corners,1987,90,"Crime,Drama,Thriller",6.1,4010,Tony Bill,"Jodie Foster,Tim Robbins,Todd Graff,John Turturro,Michael R. Howard"
Deathstalker II: Duel of the Titans,1987,85,"Action,Adventure,Comedy",5.1,3999,Jim Wynorski,"John Terlesky,Monique Gabrielle,Monique Gabrielle,John Lazar,Toni Naples"
Return to Horror High,1987,95,"Comedy,Horror",4.4,3998,Bill Froehlich,"Lori Lethin,Lori Lethin,Lori Lethin,Brendan Hughes,Alex Rocco"
Zombie Nightmare,1987,89,"Fantasy,Horror",2.7,3975,Jack Bravman,"Tony Blauer,Mark Kulik,John Fasano,Francesca Bonacorsa,Jesse D'Angelo"
Assassination,1987,88,"Action,Drama,Romance",5.2,3930,Peter R. Hunt,"Charles Bronson,Jill Ireland,Stephen Elliott,Jan Gan Boyd,Randy Brooks"
Pushpaka Vimana,1987,125,"Comedy,Drama",8.6,3928,Singeetam Srinivasa Rao,"Kamal Haasan,Amala Akkineni,Tinnu Anand,Narayana P.L.,Agnis"
Under the Sun of Satan,1987,98,"Drama,Fantasy",6.7,3923,Maurice Pialat,"Gérard Depardieu,Sandrine Bonnaire,Maurice Pialat,Alain Artur,Yann Dedet"
Hello Again,1987,96,"Comedy,Drama,Fantasy",5.3,3901,Frank Perry,"Shelley Long,Judith Ivey,Gabriel Byrne,Corbin Bernsen,Sela Ward"
R.O.T.O.R.,1987,90,"Action,Sci-Fi,Thriller",2.7,3896,Cullen Blaine,"Margaret Trigg,Richard Gesswein,Jayne Smith,James Cole,Stan Moore"
Made in Heaven,1987,103,"Comedy,Fantasy,Romance",6.2,3859,Alan Rudolph,"Timothy Hutton,Timothy Hutton,Kelly McGillis,Kelly McGillis,Maureen Stapleton"
Malone,1987,92,"Action,Drama,Thriller",5.8,3797,Harley Cokeliss,"Burt Reynolds,Cliff Robertson,Kenneth McMillan,Cynthia Gibb,Scott Wilson"
Four Adventures of Reinette and Mirabelle,1987,99,"Comedy,Drama,Romance",7.5,3780,Éric Rohmer,"Joëlle Miquel,Jessica Forde,Mr. Housseau,Mme. Housseau,Philippe Laudenbach"
A Man from Boulevard des Capucines,1987,98,"Comedy,Musical,Romance",7.6,3774,Alla Surikova,"Andrey Mironov,Aleksandra Yakovleva,Mikhail Boyarskiy,Oleg Tabakov,Nikolay Karachentsov"
Rouge,1987,93,"Drama,Fantasy,Music",7.3,3748,Stanley Kwan,"Leslie Cheung,Anita Mui,Alex Man,Emily Chu,Irene Wan"
Maid to Order,1987,93,"Comedy,Fantasy",5.6,3731,Amy Holden Jones,"Ally Sheedy,Beverly D'Angelo,Michael Ontkean,Valerie Perrine,Dick Shawn"
Dark Eyes,1987,118,"Comedy,Drama,Romance",7.3,3661,Nikita Mikhalkov,"Marcello Mastroianni,Silvana Mangano,Marthe Keller,Elena Safonova,Pina Cei"
Plaintiff,1987,79,"Comedy,Drama",7.1,3652,Zeki Ökten,"Kemal Sunal,Savas Yurttas,Güzin Özipek,Gülümser Gülhan,Serra Yilmaz"
Deadly Prey,1987,88,"Action,Thriller",5,3621,David A. Prior,"Cameron Mitchell,Troy Donahue,Ted Prior,Fritz Matthews,David Campbell"
Aenigma,1987,85,"Horror,Mystery,Romance",5.1,3563,Lucio Fulci,"Jared Martin,Lara Lamberti,Ulli Reinthaler,Sophie d'Aulan,Jennifer Naud"
Wish You Were Here,1987,88,"Comedy,Drama",6.8,3533,David Leland,"Emily Lloyd,Trudi Cavanagh,Clare Clifford,Barbara Durkin,Geoffrey Hutchings"
Back to the Beach,1987,92,"Comedy,Musical",5.9,3533,Lyndall Hobbs,"Frankie Avalon,Annette Funicello,Lori Loughlin,Tommy Hinkley,Demian Slade"
Benji the Hunted,1987,88,"Adventure,Family",6.2,3523,Joe Camp,"Red Steagall,Benjean,Nancy Francis,Joe Camp,Steve Zanolini"
Prison on Fire,1987,98,"Action,Crime,Drama",7.3,3436,Ringo Lam,"Chow Yun-Fat,Chow Yun-Fat,Tony Ka Fai Leung,Tony Ka Fai Leung,Ka-Kui Ho"
Aha Naa Pellanta,1987,147,Comedy,8.9,3426,Jandhyala,"Rajendra Prasad,Rajani,Nuthan Prasad,Kota Srinivasa Rao,Brahmanandam"
Thaniyavartanam,1987,119,Drama,8.9,3414,Sibi Malayil,"Mammootty,Thilakan,Mukesh,Kaviyoor Ponnamma,Saritha"
Intervista,1987,105,"Comedy,Drama,Fantasy",7,3414,Federico Fellini,"Sergio Rubini,Antonella Ponziani,Maurizio Mein,Paola Liguori,Lara Wendel"
Light of Day,1987,107,"Drama,Music",5.6,3403,Paul Schrader,"Michael J. Fox,Gena Rowlands,Joan Jett,Michael McKean,Thomas G. Waites"
White Mischief,1987,107,"Crime,Drama,Mystery",6.4,3386,Michael Radford,"Sarah Miles,Joss Ackland,John Hurt,Greta Scacchi,Charles Dance"
They Call Me Renegade,1987,92,"Action,Adventure,Comedy",6.2,3372,Enzo Barboni,"Terence Hill,Robert Vaughn,Ross Hill,Norman Bowler,Donald Hodson"
Assa,1987,153,"Crime,Drama,History",7.6,3329,Sergey Solovyov,"Natan Eidelman,Anatoly Slivnikov,German Shorr,Ilya Ivanov,Aleksandr Bashirov"
Man on Fire,1987,92,"Action,Drama,Thriller",5.8,3324,Élie Chouraqui,"Scott Glenn,Jade Malle,Joe Pesci,Brooke Adams,Jonathan Pryce"
Ten Little Indians,1987,137,"Crime,Drama,Mystery",7.7,3303,Stanislav Govorukhin,"Vladimir Zeldin,Tatyana Drubich,Aleksandr Kaydanovskiy,Aleksey Zharkov,Anatoliy Romashin"
Cellar Dweller,1987,77,"Fantasy,Horror",5.1,3288,John Carl Buechler,"Yvonne De Carlo,Debrah Farentino,Brian Robbins,Pamela Bellwood,Miranda Wilson"
The Nest,1987,89,"Horror,Sci-Fi",5.3,3277,Terence H. Winkless,"Robert Lansing,Lisa Langlois,Franc Luz,Terri Treas,Stephen Davies"
Aria,1987,90,"Comedy,Drama,Music",5.7,3226,Robert Altman,"John Hurt,Theresa Russell,Stephanie Lane,Roy Hyatt,Sevilla Delofski"
Making Mr. Right,1987,98,"Comedy,Romance,Sci-Fi",5.5,3223,Susan Seidelman,"John Malkovich,John Malkovich,Ann Magnuson,Glenne Headly,Ben Masters"
Creepozoids,1987,72,"Horror,Sci-Fi",4.1,3214,David DeCoteau,"Richard L. Hawkins,Linnea Quigley,Ken Abraham,Ashlyn Gere,Michael Aranda"
Eastern Condors,1987,93,"Action,Adventure,War",7.1,3176,Sammo Kam-Bo Hung,"Sammo Kam-Bo Hung,Biao Yuen,Haing S. Ngor,Ching-Ying Lam,Billy Lau"
From a Whisper to a Scream,1987,99,"Action,Drama,Horror",5.7,3168,Jeff Burr,"Vincent Price,Clu Gulager,Terry Kiser,Harry Caesar,Rosalind Cash"
White of the Eye,1987,110,"Horror,Mystery,Thriller",6.1,3153,Donald Cammell,"David Keith,Cathy Moriarty,Alan Rosenberg,Art Evans,Michael Greene"
Slaughterhouse,1987,85,"Comedy,Horror",5.3,3152,Rick Roessler,"Joe B. Barton,Don Barrett,Sherry Leigh,Bill Brinsfield,Jason Collier"
Dragon Ball: Sleeping Princess in Devil's Castle,1987,45,"Action,Adventure,Animation",6.5,3148,Daisuke Nishio,"Masako Nozawa,Tôru Furuya,Mami Koyama,Mayumi Tanaka,Hiromi Tsuru"
Date with an Angel,1987,105,"Comedy,Fantasy,Romance",5.6,3144,Tom McLoughlin,"Michael E. Knight,Phoebe Cates,Emmanuelle Béart,David Dukes,Phillip Brock"
North Shore,1987,96,"Action,Drama,Romance",6.6,3091,William Phelps,"Matt Adler,Nia Peeples,Gregory Harrison,John Philbin,Gerry Lopez"
Killer Workout,1987,85,Horror,4.6,3086,David A. Prior,"Marcia Karr,David Campbell,Fritz Matthews,Ted Prior,Teresa Van der Woude"
Housekeeping,1987,116,"Comedy,Drama",7.1,3069,Bill Forsyth,"Christine Lahti,Sara Walker,Andrea Burchill,Anne Pitoniak,Barbara Reese"
Kiraci,1987,94,"Comedy,Drama",6.7,2900,Orhan Aksoy,"Kemal Sunal,Özlem Onursal,Füsun Demirel,Uluer Süer,Nevzat Okçugil"
The Tenants,1987,109,"Comedy,Drama",7.7,2896,Dariush Mehrjui,"Akbar Abdi,Ezzatolah Entezami,Faramarz Fardtombekian,Farimah Farjami,Nasrin Ghasemzadeh"
Yeelen,1987,105,"Drama,Fantasy",6.9,2882,Souleymane Cissé,"Issiaka Kane,Aoua Sangare,Niamanto Sanogo,Niamanto Sanogo,Balla Moussa Keita"
Straight to Hell,1987,86,"Action,Comedy,Western",5.6,2877,Alex Cox,"Sy Richardson,Joe Strummer,Dick Rude,Courtney Love,Gloria Miralles Ruiz"
The Kindred,1987,93,"Horror,Sci-Fi,Thriller",5.7,2839,Stephen Carpenter,"Rod Steiger,Kim Hunter,David Allen Brooks,Amanda Pays,Talia Balsam"
Rampage,1987,97,"Drama,Thriller",6.1,2758,William Friedkin,"Michael Biehn,Alex McArthur,Nicholas Campbell,Deborah Van Valkenburgh,John Harkins"
Otto - Der Neue Film,1987,82,"Comedy,Romance",5.8,2746,Xaver Schwarzenberger,"Otto Waalkes,Anja Jaenicke,Ute Sander,Friedrich Schoenfelder,Dirk Dautzenberg"
From the Hip,1987,111,"Comedy,Crime,Drama",6.1,2735,Bob Clark,"Judd Nelson,Elizabeth Perkins,John Hurt,Darren McGavin,Dan Monahan"
The Big Town,1987,109,"Drama,Romance,Thriller",5.9,2725,Ben Bolt,"Matt Dillon,Diane Lane,Tommy Lee Jones,Bruce Dern,Lee Grant"
Delirium,1987,94,"Horror,Mystery,Thriller",5.7,2704,Lamberto Bava,"Serena Grandi,Daria Nicolodi,Vanni Corbellini,David Brandon,George Eastman"
Slave Girls from Beyond Infinity,1987,74,"Action,Adventure,Comedy",4.4,2662,Ken Dixon,"Elizabeth Kaitan,Cindy Beal,Don Scribner,Brinke Stevens,Carl Horner"
Disorderlies,1987,86,Comedy,5,2660,Michael Schultz,"Darren Robinson,Damon Wimbley,Mark Morales,Anthony Geary,Tony Plana"
China Girl,1987,90,"Crime,Drama,Romance",6.3,2613,Abel Ferrara,"James Russo,Richard Panebianco,Sari Chang,David Caruso,Russell Wong"
The Family,1987,127,"Drama,Romance",7.4,2590,Ettore Scola,"Vittorio Gassman,Vittorio Gassman,Fanny Ardant,Stefania Sandrelli,Emanuele Lamaro"
Sign 'o' the Times,1987,85,"Documentary,Music",8,2580,Prince,NA
An Autumn's Tale,1987,98,"Drama,Romance",7.5,2567,Mabel Cheung,"Chow Yun-Fat,Cherie Chung,Danny Bak-Keung Chan,Gigi Suk Yee Wong,Fu-Sheng Wu"
Hamlet Goes Business,1987,89,"Comedy,Drama,Romance",6.8,2527,Aki Kaurismäki,"Pirkka-Pekka Petelius,Esko Salminen,Kati Outinen,Elina Salo,Esko Nikkari"
Siesta,1987,97,"Drama,Mystery,Romance",5.5,2511,Mary Lambert,"Ellen Barkin,Gabriel Byrne,Julian Sands,Isabella Rossellini,Martin Sheen"
Doom Asylum,1987,79,"Comedy,Horror",4.6,2499,Richard Friedman,"Michael Rogen,Patty Mullen,Patty Mullen,Harvey Keith,Steven G. Menkin"
Bloody New Year,1987,90,"Comedy,Horror,Mystery",4.5,2482,Norman J. Warren,"Suzy Aitchison,Nikki Brooks,Colin Heywood,Mark Powley,Catherine Roman"
Gor,1987,94,"Action,Adventure,Fantasy",3.5,2468,Fritz Kiersch,"Urbano Barberini,Rebecca Ferratti,Jack Palance,Paul L. Smith,Oliver Reed"
The Outing,1987,87,Horror,5.1,2453,Tom Daley,"Deborah Winters,Deborah Winters,Deborah Winters,James Huston,Andra St. Ivanyi"
Swimming to Cambodia,1987,85,"Comedy,Drama",7.6,2442,Jonathan Demme,NA
A Taxing Woman,1987,127,"Comedy,Crime",7.2,2364,Jûzô Itami,"Nobuko Miyamoto,Tsutomu Yamazaki,Masahiko Tsugawa,Yasuo Daichi,Kinzô Sakura"
It's Alive III: Island of the Alive,1987,95,"Horror,Sci-Fi",4.9,2348,Larry Cohen,"Michael Moriarty,Karen Black,Laurene Landon,James Dixon,Gerrit Graham"
Die Hard,1988,132,"Action,Thriller",8.2,986126,John McTiernan,"Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,Paul Gleason"
Rain Man,1988,133,Drama,8,562629,Barry Levinson,"Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,Jack Murdock"
My Neighbor Totoro,1988,86,"Animation,Comedy,Family",8.1,404079,Hayao Miyazaki,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,Sumi Shimamoto"
Beetlejuice,1988,92,"Comedy,Fantasy",7.5,401348,Tim Burton,"Alec Baldwin,Geena Davis,Michael Keaton,Annie McEnroe,Maurice Page"
Grave of the Fireflies,1988,88,"Animation,Drama,War",8.5,344137,Isao Takahata,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,Kôzô Hashida"
Cinema Paradiso,1988,174,"Drama,Romance",8.5,299450,Giuseppe Tornatore,"Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,Leo Gullotta"
Big,1988,104,"Comedy,Drama,Fantasy",7.3,249259,Penny Marshall,"Tom Hanks,Elizabeth Perkins,Robert Loggia,John Heard,Jared Rushton"
Coming to America,1988,117,"Comedy,Romance",7.1,231531,John Landis,"Eddie Murphy,Eddie Murphy,Eddie Murphy,Paul Bates,Garcelle Beauvais"
Who Framed Roger Rabbit,1988,104,"Adventure,Animation,Comedy",7.7,224704,Robert Zemeckis,"Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer,Charles Fleischer"
Akira,1988,124,"Animation,Drama,Fantasy",8,214638,Katsuhiro Ôtomo,"Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,Hiroshi Ôtake"
The Naked Gun: From the Files of Police Squad!,1988,85,"Comedy,Crime",7.6,193342,David Zucker,"Leslie Nielsen,Priscilla Presley,O.J. Simpson,Ricardo Montalban,George Kennedy"
A Fish Called Wanda,1988,108,"Comedy,Crime",7.5,159377,Charles Crichton,"John Cleese,Jamie Lee Curtis,Kevin Kline,Michael Palin,Maria Aitken"
They Live,1988,94,"Action,Horror,Sci-Fi",7.2,153727,John Carpenter,"Roddy Piper,Keith David,Meg Foster,George 'Buck' Flower,Peter Jason"
Rambo III,1988,102,"Action,Adventure,Thriller",5.8,144651,Peter MacDonald,"Sylvester Stallone,Richard Crenna,Marc de Jonge,Kurtwood Smith,Spyros Fokas"
Twins,1988,107,"Comedy,Crime",6.2,142160,Ivan Reitman,"Arnold Schwarzenegger,Danny DeVito,Kelly Preston,Chloe Webb,Bonnie Bartlett"
Willow,1988,126,"Action,Adventure,Drama",7.2,133350,Ron Howard,"Val Kilmer,Joanne Whalley,Warwick Davis,Jean Marsh,Patricia Hayes"
Child's Play,1988,87,"Horror,Thriller",6.7,124157,Tom Holland,"Catherine Hicks,Chris Sarandon,Alex Vincent,Brad Dourif,Brad Dourif"
Scrooged,1988,101,"Comedy,Drama,Fantasy",6.9,123189,Richard Donner,"Bill Murray,Karen Allen,John Forsythe,John Glover,Bobcat Goldthwait"
Heathers,1988,103,"Comedy,Crime",7.1,121978,Michael Lehmann,"Winona Ryder,Christian Slater,Shannen Doherty,Lisanne Falk,Kim Walker"
Mississippi Burning,1988,128,"Crime,Drama,Mystery",7.8,119933,Alan Parker,"Gene Hackman,Willem Dafoe,Frances McDormand,Brad Dourif,R. Lee Ermey"
The Land Before Time,1988,69,"Adventure,Animation,Drama",7.4,102716,Don Bluth,"Pat Hingle,Pat Hingle,Gabriel Damon,Helen Shaver,Bill Erwin"
Midnight Run,1988,126,"Action,Comedy,Crime",7.5,98778,Martin Brest,"Robert De Niro,Charles Grodin,Yaphet Kotto,John Ashton,Dennis Farina"
Bloodsport,1988,92,"Action,Biography,Drama",6.8,98249,Newt Arnold,"Jean-Claude Van Damme,Donald Gibb,Leah Ayres,Norman Burton,Forest Whitaker"
Cocktail,1988,104,"Comedy,Drama,Romance",5.9,94682,Roger Donaldson,"Tom Cruise,Bryan Brown,Elisabeth Shue,Lisa Banes,Laurence Luckinbill"
Dirty Rotten Scoundrels,1988,110,"Comedy,Crime",7.4,82214,Frank Oz,"Steve Martin,Michael Caine,Glenne Headly,Anton Rodgers,Barbara Harris"
Red Heat,1988,104,"Action,Comedy,Crime",6.1,78614,Walter Hill,"Arnold Schwarzenegger,Jim Belushi,Peter Boyle,Ed O'Ross,Laurence Fishburne"
Dangerous Liaisons,1988,119,"Drama,Romance",7.5,77285,Stephen Frears,"Glenn Close,John Malkovich,Michelle Pfeiffer,Swoosie Kurtz,Keanu Reeves"
Young Guns,1988,107,"Action,Drama,Western",6.8,70528,Christopher Cain,"Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,Charlie Sheen,Dermot Mulroney"
The Last Temptation of Christ,1988,164,Drama,7.5,65192,Martin Scorsese,"Willem Dafoe,Harvey Keitel,Barbara Hershey,Paul Greco,Steve Shill"
Working Girl,1988,113,"Comedy,Drama,Romance",6.8,64974,Mike Nichols,"Melanie Griffith,Harrison Ford,Sigourney Weaver,Alec Baldwin,Joan Cusack"
A Nightmare on Elm Street 4: The Dream Master,1988,93,Horror,5.6,64589,Renny Harlin,"Robert Englund,Rodney Eastman,John Beckman,Kisha Brackel,Brooke Bundy"
Crocodile Dundee II,1988,111,"Action,Adventure,Comedy",5.7,62383,John Cornell,"Paul Hogan,Linda Kozlowski,John Meillon,Ernie Dingo,Steve Rackman"
Bull Durham,1988,108,"Comedy,Romance,Sport",7,61487,Ron Shelton,"Kevin Costner,Susan Sarandon,Tim Robbins,Trey Wilson,Robert Wuhl"
Halloween 4: The Return of Michael Myers,1988,88,"Horror,Thriller",5.8,61395,Dwight H. Little,"Donald Pleasence,Ellie Cornell,Danielle Harris,George P. Wilbur,Michael Pataki"
Frantic,1988,120,"Crime,Drama,Mystery",6.8,59604,Roman Polanski,"Harrison Ford,Betty Buckley,Emmanuelle Seigner,Djiby Soumare,Dominique Virton"
Hellbound: Hellraiser II,1988,97,"Horror,Thriller",6.4,58394,Tony Randel,"Doug Bradley,Ashley Laurence,Clare Higgins,Kenneth Cranham,Imogen Boorman"
The Adventures of Baron Munchausen,1988,126,"Adventure,Comedy,Fantasy",7.1,58275,Terry Gilliam,"John Neville,Eric Idle,Eric Idle,Sarah Polley,Oliver Reed"
The Big Blue,1988,168,"Adventure,Drama,Sport",7.5,56670,Luc Besson,"Jean-Marc Barr,Jean Reno,Rosanna Arquette,Paul Shenar,Sergio Castellitto"
Dead Ringers,1988,116,"Drama,Horror,Thriller",7.2,56076,David Cronenberg,"Jeremy Irons,Geneviève Bujold,Heidi von Palleske,Heidi von Palleske,Barbara Gordon"
Oliver & Company,1988,74,"Adventure,Animation,Comedy",6.6,54889,George Scribner,"Joey Lawrence,Billy Joel,Cheech Marin,Richard Mulligan,Roscoe Lee Browne"
The Great Outdoors,1988,91,Comedy,6.6,53715,Howard Deutch,"Dan Aykroyd,John Candy,Stephanie Faracy,Annette Bening,Chris Young"
The Dead Pool,1988,91,"Action,Crime,Mystery",6.3,50665,Buddy Van Horn,"Clint Eastwood,Liam Neeson,Patricia Clarkson,Evan C. Kim,David Hunt"
The Vanishing,1988,107,"Mystery,Thriller",7.7,49616,George Sluizer,"Bernard-Pierre Donnadieu,Gene Bervoets,Johanna ter Steege,Gwen Eckhaus,Bernadette Le Saché"
Killer Klowns from Outer Space,1988,88,"Comedy,Horror,Sci-Fi",6.2,49287,Stephen Chiodo,"Grant Cramer,Suzanne Snyder,John Allen Nelson,John Vernon,Michael S. Siegel"
Women on the Verge of a Nervous Breakdown,1988,88,"Comedy,Drama",7.5,48586,Pedro Almodóvar,"Carmen Maura,Antonio Banderas,Julieta Serrano,Rossy de Palma,María Barranco"
