title,year,minutes,genres,rating,votes,director,cast
Stardust Memories,1980,89,"Comedy,Drama",7.2,24495,Woody Allen,"Woody Allen,Charlotte Rampling,Jessica Harper,Marie-Christine Barrault,Tony Roberts"
Prom Night,1980,92,"Horror,Mystery,Thriller",5.3,22387,Paul Lynch,"Leslie Nielsen,Jamie Lee Curtis,Casey Stevens,Anne-Marie Martin,Antoinette Bower"
The Big Red One,1980,113,"Drama,War",7.1,22092,Samuel Fuller,"Lee Marvin,Mark Hamill,Robert Carradine,Bobby Di Cicco,Kelly Ward"
Any Which Way You Can,1980,116,"Action,Comedy",6.1,21662,Buddy Van Horn,"Clint Eastwood,Sondra Locke,Geoffrey Lewis,William Smith,Harry Guardino"
Maniac,1980,87,"Crime,Drama,Horror",6.3,21296,William Lustig,"Joe Spinell,Caroline Munro,Abigail Clayton,Kelly Piper,Rita Montone"
Coal Miner's Daughter,1980,124,"Biography,Drama,Music",7.5,21218,Michael Apted,"Sissy Spacek,Tommy Lee Jones,Levon Helm,Phyllis Boyens,Bill Anderson Jr."
City of the Living Dead,1980,93,Horror,6.2,20138,Lucio Fulci,"Christopher George,Catriona MacColl,Carlo De Mejo,Antonella Interlenghi,Giovanni Lombardo Radice"
Brubaker,1980,131,"Crime,Drama",7.1,20108,Stuart Rosenberg,"Robert Redford,Yaphet Kotto,Morgan Freeman,Jane Alexander,Murray Hamilton"
Atlantic City,1980,104,"Crime,Drama,Romance",7.3,18875,Louis Malle,"Burt Lancaster,Susan Sarandon,Kate Reid,Michel Piccoli,Hollis McLaren"
Smokey and the Bandit II,1980,100,"Action,Adventure,Comedy",5.3,18257,Hal Needham,"Burt Reynolds,Jackie Gleason,Jackie Gleason,Jackie Gleason,Jerry Reed"
Heaven's Gate,1980,219,"Adventure,Drama,Western",6.7,18201,Michael Cimino,"Kris Kristofferson,Christopher Walken,John Hurt,Sam Waterston,Brad Dourif"
Lion of the Desert,1980,173,"Biography,Drama,History",8.2,18155,Moustapha Akkad,"Anthony Quinn,Oliver Reed,Rod Steiger,Irene Papas,Raf Vallone"
Used Cars,1980,113,Comedy,6.7,17644,Robert Zemeckis,"Kurt Russell,Jack Warden,Jack Warden,Gerrit Graham,Frank McRae"
Urban Cowboy,1980,132,"Drama,Romance,Western",6.5,17589,James Bridges,"John Travolta,Debra Winger,Scott Glenn,Madolyn Smith Osborne,Barry Corbin"
Who's Singin' Over There?,1980,86,"Adventure,Comedy,Drama",8.7,17245,Slobodan Sijan,"Pavle Vuisic,Dragan Nikolic,Danilo 'Bata' Stojkovic,Aleksandar Bercek,Neda Arneric"
Alligator,1980,91,"Horror,Sci-Fi,Thriller",6.1,17140,Lewis Teague,"Robert Forster,Robin Riker,Michael V. Gazzo,Dean Jagger,Sydney Lassick"
The Last Metro,1980,132,"Drama,Romance,War",7.3,16392,François Truffaut,"Catherine Deneuve,Gérard Depardieu,Jean Poiret,Andréa Ferréol,Paulette Dubost"
Xanadu,1980,96,"Fantasy,Musical,Romance",5.4,16068,Robert Greenwald,"Olivia Newton-John,Gene Kelly,Michael Beck,James Sloyan,Dimitra Arliss"
Cheech and Chong's Next Movie,1980,99,"Comedy,Crime",6,15344,Tommy Chong,"Cheech Marin,Cheech Marin,Tommy Chong,Evelyn Guerrero,Betty Kennedy"
Moscow Does Not Believe in Tears,1980,150,"Comedy,Drama,Romance",8,14968,Vladimir Menshov,"Vera Alentova,Aleksey Batalov,Irina Muravyova,Aleksandr Fatyushin,Raisa Ryazanova"
Breaker Morant,1980,107,"Drama,History,War",7.8,14900,Bruce Beresford,"Edward Woodward,Jack Thompson,John Waters,Bryan Brown,Charles 'Bud' Tingwell"
Terror Train,1980,97,"Horror,Mystery,Thriller",5.8,14617,Roger Spottiswoode,"Ben Johnson,Jamie Lee Curtis,Hart Bochner,David Copperfield,Derek McKinnon"
Motel Hell,1980,101,"Comedy,Horror,Thriller",6,14270,Kevin Connor,"Rory Calhoun,Paul Linke,Nancy Parsons,Nina Axelrod,Wolfman Jack"
The Long Riders,1980,100,"Biography,Crime,Drama",6.9,13840,Walter Hill,"David Carradine,Stacy Keach,Dennis Quaid,Keith Carradine,Robert Carradine"
Bronco Billy,1980,116,"Action,Adventure,Comedy",6.2,13204,Clint Eastwood,"Clint Eastwood,Sondra Locke,Geoffrey Lewis,Scatman Crothers,Bill McKinney"
Where the Buffalo Roam,1980,99,"Biography,Comedy",6.5,13002,Art Linson,"Peter Boyle,Bill Murray,Bruno Kirby,Rene Auberjonois,R.G. Armstrong"
Gloria,1980,123,"Crime,Drama,Thriller",7.1,12481,John Cassavetes,"Gena Rowlands,Buck Henry,Julie Carmen,Tony Knesich,Tony Knesich"
Zübük,1980,88,Comedy,8.5,11637,Kartal Tibet,"Kemal Sunal,Nevra Serezli,Metin Serezli,Kadir Savun,Zeki Alpan"
Shogun Assassin,1980,85,"Action,Adventure",7.3,11629,Robert Houston,"Tomisaburô Wakayama,Kayo Matsuo,Minoru Ôki,Shôgen Nitta,Shin Kishida"
Humanoids from the Deep,1980,80,"Horror,Sci-Fi",5.7,11465,Barbara Peeters,"Doug McClure,Ann Turkel,Vic Morrow,Cindy Weintraub,Anthony Pena"
My Bodyguard,1980,102,"Comedy,Drama,Family",7.1,11250,Tony Bill,"Chris Makepeace,Adam Baldwin,Matt Dillon,Paul Quandt,Hank Salas"
Seems Like Old Times,1980,102,"Comedy,Romance",6.7,11246,Jay Sandrich,"Goldie Hawn,Chevy Chase,Charles Grodin,Robert Guillaume,Harold Gould"
Permanent Vacation,1980,75,"Comedy,Drama",6.1,11205,Jim Jarmusch,"Chris Parker,Leila Gastil,John Lurie,Richard Boes,Sara Driver"
The Party,1980,100,"Comedy,Drama,Romance",6.7,11132,Claude Pinoteau,"Claude Brasseur,Brigitte Fossey,Sophie Marceau,Denise Grey,Jean-Michel Dupuis"
Saturn 3,1980,88,"Adventure,Horror,Sci-Fi",5.1,11022,Stanley Donen,"Farrah Fawcett,Kirk Douglas,Harvey Keitel,Ed Bishop,Roy Dotrice"
The Stunt Man,1980,131,"Action,Comedy,Drama",7,10990,Richard Rush,"Peter O'Toole,Steve Railsback,Barbara Hershey,Allen Garfield,Alex Rocco"
Battle Beyond the Stars,1980,104,"Action,Adventure,Sci-Fi",5.5,10809,Jimmy T. Murakami,"George Peppard,Robert Vaughn,Richard Thomas,John Saxon,Darlanne Fluegel"
The Taming of the Scoundrel,1980,107,"Comedy,Romance",7.6,10423,Franco Castellano,"Adriano Celentano,Ornella Muti,Edith Peters,Pippo Santonastaso,Milly Carlucci"
The Mirror Crack'd,1980,105,"Crime,Mystery,Thriller",6.2,10354,Guy Hamilton,"Angela Lansbury,Tony Curtis,Rock Hudson,Geraldine Chaplin,Edward Fox"
The Dogs of War,1980,102,"Action,Adventure,Drama",6.3,10285,John Irvin,"Christopher Walken,Tom Berenger,Colin Blakely,Hugh Millais,Paul Freeman"
Bad Timing: A Sensual Obsession,1980,123,"Drama,Mystery,Thriller",6.9,9998,Nicolas Roeg,"Art Garfunkel,Theresa Russell,Harvey Keitel,Denholm Elliott,Daniel Massey"
Pixote,1980,128,"Crime,Drama",7.9,9891,Hector Babenco,"Fernando Ramos da Silva,Jorge Julião,Gilberto Moura,Edilson Lino,Zenildo Oliveira Santos"
Gregory's Girl,1980,91,"Comedy,Drama,Romance",7.1,9732,Bill Forsyth,"John Gordon Sinclair,Dee Hepburn,Jake D'Arcy,Clare Grogan,Robert Buchanan"
The Ninth Configuration,1980,118,"Comedy,Drama,Horror",6.8,9508,William Peter Blatty,"Stacy Keach,Scott Wilson,Jason Miller,Ed Flanders,Neville Brand"
Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980,107,Comedy,7.2,9481,Lasse Åberg,"Lasse Åberg,Lottie Ejebrant,Jon Skolmen,Kim Anderzon,Roland Jansson"
Hopscotch,1980,106,"Adventure,Comedy",7.1,9444,Ronald Neame,"Walter Matthau,Glenda Jackson,Sam Waterston,Ned Beatty,Herbert Lom"
Christmas Evil,1980,100,"Horror,Thriller",5.6,9178,Lewis Jackson,"Brandon Maggart,Jeffrey DeMunn,Dianne Hull,Andy Fenwick,Brian Neville"
